factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,loglikelihood_oos,mse_train,mse_test,persistence
L_PC_QQQ_2,-0.0021653919541358225,0.6496871886981724,0.24265596241114795,-0.002363853056307791,0.0016189066760860314,0.028374816115451004,0.9465918182124559,-5778.520081265149,-77.39951566433669,0.07663077649059603,0.11455056363642929,0.9749666343279069
L_PC_QQQ_3,0.0006571106940968241,0.44881377704948616,0.4939098004153033,-0.02047271048502375,0.00078278556997201,0.041014941794134584,0.9482360761805447,-5756.078576407964,-35.656662696814124,0.06927200825691902,0.07783507944641922,0.9892510179746793
L_PC_SPY_1,-0.00133002980271988,0.605615266245963,0.3555889848411926,0.000590455644632476,0.0010591764733411577,0.016037351589570963,0.9708507599250837,-5952.063039059183,-15.275914238352886,0.10076105584388752,0.06826863275869113,0.9868881115146547
L_PC_SPY_2,-0.0007667445426404757,0.3745128711062623,0.48085727350775176,0.062448157922809305,0.002572553682357169,0.031070336620052156,0.9538772790936968,-6354.896372268971,-135.2736306045556,0.19290684862300225,0.19097329076527894,0.984947615713749
L_PC_SPY_3,-0.0018193584573014884,0.5709798197277373,0.38094071431052656,-0.018677262995624166,0.0012436049960715364,2.9737554022481744e-15,0.979692145830103,-5778.930160679793,-7.924954312000846,0.07678695166359308,0.06240281471716191,0.979692145830106
L_PC_TLT_1,0.003381508057313555,0.5994536209252062,0.37125313845649716,-0.016228784923338735,0.0011833449379659352,0.016435130966663707,0.9788431304972467,-6725.235639685945,-226.17598799353317,0.34385341435120576,0.3575623922850946,0.9952782614639104
L_PC_TLT_2,0.0011070773531599246,0.5291763000245238,0.311118362541981,0.021183900653680948,0.0030538003069970174,0.07907505705841736,0.916000547469333,-6673.75752472171,-224.74523625200564,0.3548121532109059,0.32541727537884624,0.9950756045277503
L_PC_TLT_3,-0.006256573023176294,0.6908366895478864,0.27707409904274294,-0.019581555592090627,0.009520618696278259,0.11230625408212497,0.7207492226351561,-5631.9049325688065,32.85770380683199,0.05835333561878273,0.04842845865279706,0.8330554767172811
L_PC_TLT_4,-0.007176622625744443,0.3826518955636491,0.4795918764814748,0.06765434255894698,0.002845489223008243,0.06643659314357303,0.9123164989650621,-6108.044366203702,-7.417208458925384,0.12640913465223072,0.059552116889991825,0.9787530921086351
L_PC_TLT_5,0.003789613771857367,0.6764633901638509,0.24668212475940773,-0.0033989547283802823,0.002910647847586443,0.08298578652084077,0.8390090417515607,-5360.31324409569,35.188050869180366,0.037484251717575995,0.04724416390219253,0.9219948282724014
L_PC_TSLA_1,-0.010701884023060715,0.8507887450185999,0.12144858318712821,-0.013540463831740082,0.005981498747402799,0.031828080714857064,0.9437594103862675,-6643.2499074211555,-172.929614428116,0.3620405507359374,0.23513723262735176,0.9755874911011246
L_PC_TSLA_2,0.0017013852090123926,0.8021000206295652,0.15108795251971419,-0.016837487701956977,0.001034783409737384,0.02100001508792816,0.959872952781318,-5673.254132549153,34.10389658623255,0.062091008263611684,0.043423989877589324,0.9808729678692462
L_PC_TSLA_3,0.002126165397399609,0.553621101325408,0.35946166396736645,0.023588042350983274,0.0005643994851504738,3.5657065026356067e-16,0.9883137276796736,-5624.987377682306,26.0213172206892,0.05570358792538738,0.04745952116156929,0.988313727679674
L_PC_V_1,-0.007391159369003836,0.6196233755302969,0.32099967607864066,0.03923914328387773,0.0006350839024042199,0.006559406713597118,0.9884494126813874,-6287.491080104488,-100.70955916516084,0.16746150485001662,0.13132764520787418,0.9950088193949845
L_PC_V_2,-0.0013578843425034876,0.4956529524766746,0.3607816318938354,0.05015657113803648,0.008237722920432325,0.1828141506455117,0.7723965789920719,-6163.362261833414,-95.25048475846219,0.1577272447719277,0.12034027132998454,0.9552107296375836
L_PC_V_3,-0.0029651032852267742,0.47041087093452916,0.4243826339726358,0.034867650630634156,0.0004353144904960504,0.04218924920526384,0.9504858827659894,-5557.548985660395,45.56693950977037,0.05383634262252665,0.042480141089732006,0.9926751319712532
