factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,persistence
L_PC_IWM_3,0.002300448937914816,0.26593197992249473,0.6897259317101713,-0.008329914170992436,0.015989683316644295,0.12859655634830353,0.8476723382701938,-1313.2793014802132,0.9762688946184974
L_PC_JPM_1,0.0033894590385571202,0.347509767510285,0.407096775757864,0.18031078286668886,0.009897991918094477,0.06189001912085309,0.9366815692417139,-2223.866543013094,0.998571588362567
L_PC_JPM_2,-0.0005648162186752681,0.5585578929472826,0.2873950224967858,0.10617777031588932,0.014727219693853332,0.11372674771029771,0.8862732522901161,-1819.869622042514,1.000000000000414
L_PC_JPM_3,0.003847476336797606,0.5990989830666865,0.2994479406214821,0.056041315648994894,0.006360627667427057,0.09353357906015851,0.9064664209044785,-1601.2194144006107,0.999999999964637
L_PC_MSFT_1,0.0011693699273838442,0.864730695211676,0.08173421624517913,0.021632563998939598,0.06504401901380645,0.1944582789040659,0.680249229785892,-1205.3473191941957,0.8747075086899578
L_PC_MSFT_2,0.0013757578047767349,0.6424954270402995,0.3227920653630426,-0.0328998299297035,0.004424292492101805,0.025946802182055955,0.9654191180943719,-1476.0439524231567,0.9913659202764278
L_PC_MSFT_3,0.0020753541511254435,0.3159960703569661,0.6471836114156205,-0.11874108868205352,0.004130846200873437,0.0,0.9946679384139563,-1751.6546309238256,0.9946679384139563
L_PC_NFLX_1,-0.009375607276166122,0.47880010767731374,0.4809149261865505,-0.10515886673306704,1.7205818029595088,0.6579202480146491,4.7327153675060375e-12,-2351.892465618232,0.6579202480193819
L_PC_NFLX_2,-0.0013225257908056325,0.6456564754836475,0.31673641085889137,-0.07716628531812,0.5415939789010846,0.12426995647294646,0.5555205395983651,-2029.8446511896836,0.6797904960713116
L_PC_NFLX_3,-0.0006947475046006034,0.7092964682809618,0.2407179706043826,-0.06149869019136059,0.09535638602993426,0.15276439719859392,0.751123297279194,-1644.280057360559,0.9038876944777879
L_PC_NVDA_1,0.001649477991048913,0.5915345435691945,0.3257504441921825,0.02698960652388968,0.024391956067843248,0.042368243164558526,0.9430510193465753,-2128.113722603118,0.9854192625111339
L_PC_NVDA_2,0.005586388170121456,0.5319348355569767,0.4046270780852243,-0.06598748580842387,0.2965213575561817,0.1121066106340847,0.7729513321168839,-2268.7342317025305,0.8850579427509686
L_PC_QQQ_1,0.0010208415739259569,0.8528114683605581,0.09176909045641471,0.003781504001461322,0.014155221359686025,0.12769401052687046,0.8582387660215537,-1403.5097704525258,0.9859327765484242
L_PC_QQQ_2,6.949354442024533e-05,0.6690436521208462,0.1775407725639111,0.13557047190366683,0.01162878301238289,0.05645348897150371,0.9133150358494115,-1143.6527490557073,0.9697685248209152
L_PC_SPY_1,-0.001282440362080306,0.7000375188269303,0.20439733452153794,0.06426729849086225,0.011074191061143338,0.09817147424460648,0.8884706869022779,-1359.6247337734271,0.9866421611468844
L_PC_SPY_2,-0.00014584293604271575,0.6403763968988712,0.18881574933082554,0.138065034016619,0.041900058414448035,0.07420633683648911,0.8609386606978138,-1434.7720968647145,0.9351449975343029
L_PC_TLT_1,0.0005647843965114752,0.5202729844168967,0.32446719985079375,0.13627936071836944,0.023724589625684446,0.11668371914934339,0.8833162808518428,-2214.558351939635,1.0000000000011862
L_PC_TLT_2,-0.005689783185568696,0.36840166353786247,0.3158297866498821,0.23345782547145577,0.016991693949328618,0.1128892473246971,0.8871107525091825,-2164.5420540483683,0.9999999998338795
L_PC_TLT_3,0.0011126747515971362,0.5657093558159776,0.21738720478053863,0.1660561014093358,0.0048543092076391925,0.056464167788088604,0.9415660295706365,-1699.617877918253,0.9980301973587251
L_PC_TSLA_1,0.00039865917147455243,0.6117257028524309,0.3312440501531869,0.02139715479350704,0.009119449570281218,0.010894613599298728,0.9827791409332758,-2293.3763684659566,0.9936737545325746
L_PC_V_1,0.0033957727084397843,0.38015327510235936,0.44139564975096546,0.11658233232993206,0.0518307546715793,0.20933091735057016,0.7906690826494294,-2143.2920534358927,0.9999999999999996
L_PC_V_2,0.0029146167327427086,0.5490093312674258,0.32379321798694466,0.0723179156754557,0.002538005844956347,0.05796721650651918,0.9420327835818538,-1694.085226747774,1.000000000088373
L_PC_V_3,-0.004376727283478002,0.3746274023714957,0.4295651988204017,0.09214720318214226,0.010904254709315941,0.05517411639021315,0.9397864180137356,-2026.935069741877,0.9949605344039488
