Edge,Family,Rotation,NLL,AIC,BIC
T1_E0,Bicopfamily.gaussian,0,-72.08591884354394,451.8281623129121,1972.3729703337574
T1_E1,Bicopfamily.student,0,-19.360828453073587,1423.2783430938528,5153.205372165121
T1_E2,Bicopfamily.frank,0,-18.72774790706693,166.54450418586615,686.9994384748803
T1_E3,Bicopfamily.gaussian,0,-64.81288971050529,466.3742205789894,1986.9190285998347
T1_E4,Bicopfamily.student,0,0.4270500157101833,1462.8541000314203,5192.781129102689
T1_E5,Bicopfamily.student,0,-5.1085529234007465,1451.7828941531984,5181.709923224467
T1_E6,Bicopfamily.frank,0,-18.999724149712044,166.0005517005759,686.4554859895901
T1_E7,Bicopfamily.gumbel,0,-0.09940606427295925,1459.801187871454,5184.625717586948
T1_E8,Bicopfamily.frank,0,-20.872294394347506,162.255411211305,682.7103455003191
T1_E9,Bicopfamily.student,0,-1.9201184054041254,1458.1597631891918,5188.08679226046
T1_E10,Indep,0,0.0,0.0,0.0
T1_E11,Bicopfamily.gaussian,0,-72.01222716206348,451.97554567587304,1972.5203536967183
T1_E12,Bicopfamily.student,0,1.1792232544403685,1464.3584465088807,5194.285475580149
T1_E13,Bicopfamily.student,0,-16.25543796470377,1429.4891240705924,5159.416153141861
T1_E14,Bicopfamily.student,0,-5.489512748417492,1451.020974503165,5180.948003574434
T1_E15,Bicopfamily.gumbel,180,-5.5409735986929896,1448.918052802614,5173.742582518107
T1_E16,Bicopfamily.student,0,-5.481725521542497,1451.036548956915,5180.963578028183
T1_E17,Indep,0,0.0,0.0,0.0
T1_E18,Bicopfamily.clayton,270,0.5333943398464145,1461.0667886796928,5185.891318395186
T1_E19,Bicopfamily.student,0,-5.803887726850437,1450.392224546299,5180.3192536175675
T1_E20,Bicopfamily.student,0,-11.514980162765537,1438.970039674469,5168.897068745738
T1_E21,Bicopfamily.student,0,-27.03897610423075,1407.9220477915385,5137.849076862807
T1_E22,Bicopfamily.gaussian,0,-19.00931296563824,557.9813740687235,2078.526182089569
T1_E23,Bicopfamily.clayton,180,0.7161875997171514,1461.4323751994343,5186.256904914928
T1_E24,Indep,0,0.0,0.0,0.0
T1_E25,Bicopfamily.student,0,-21.406669811200715,1419.1866603775986,5149.113689448867
T1_E26,Bicopfamily.frank,0,-12.271273217541912,179.45745356491616,699.9123878539303
T1_E27,Bicopfamily.frank,0,-12.591524340519001,178.816951318962,699.2718856079762
T1_E28,Bicopfamily.student,0,12.164355553195058,1486.32871110639,5216.2557401776585
T1_E29,Indep,0,0.0,0.0,0.0
T1_E30,Bicopfamily.clayton,0,-5.7448026553742055,1448.5103946892516,5173.334924404745
T1_E31,Bicopfamily.clayton,180,-0.3402703220100049,1459.31945935598,5184.143989071474
T1_E32,Bicopfamily.student,0,1.9575226413809812,1465.9150452827619,5195.84207435403
T1_E33,Bicopfamily.frank,0,-18.42143211872864,167.15713576254274,687.6120700515569
T1_E34,Bicopfamily.student,0,-11.35199659394215,1439.2960068121156,5169.223035883384
